battery_id,car_model,battery_type,charging_speed,climate,depth_of_discharge,cycle_index,calendar_age_months,mileage_km,soh_percentage,capacity_Ah,voltage_V,temperature_C,internal_resistance_ohm,energy_throughput_kwh,total_lifespan_cycles,remaining_useful_cycles,remaining_useful_life_km,remaining_useful_life_months,eol_reached
BAT-TEST-L-00020,Chevy Bolt EV,NMC,Slow (AC),Hot,Shallow (20-80%),1426,44.6,462117.1,68.25,53.65,358.0,13.7,0.098631,72994.49,4491,3065,919500,122.6,1
BAT-TEST-L-00021,Chevy Bolt EV,NCA,Slow (AC),Cold,Deep (0-100%),2570,78.7,982111.0,54.02,41.94,345.91,15.8,0.110757,104121.11,5589,3019,905700,120.8,1
BAT-TEST-L-00022,Model Y Performance,LFP,Fast (DC),Cold,Shallow (20-80%),4988,149.7,1647353.4,14.12,11.3,349.82,27.2,0.176321,52827.36,5808,820,246000,32.8,1
BAT-TEST-L-00023,Chevy Bolt EV,NCA,Fast (DC),Temperate,Shallow (20-80%),3710,138.4,1177035.0,21.72,16.57,355.06,42.8,0.163845,60432.8,4739,1029,308700,41.2,1
BAT-TEST-L-00024,BYD Blade EV,NMC,Fast (DC),Cold,Shallow (20-80%),3954,219.9,1428954.6,25.89,21.1,340.44,23.6,0.160762,76783.41,5335,1381,414300,55.2,1
BAT-TEST-L-00025,Model 3 Long Range,LFP,Fast (DC),Cold,Moderate (10-90%),248,15.7,83271.5,94.52,75.4,331.98,23.2,0.054963,17580.17,4523,4275,1282500,171.0,0
BAT-TEST-L-00026,BYD Blade EV,NMC,Slow (AC),Cold,Deep (0-100%),2233,71.1,712816.1,54.26,44.33,348.91,42.8,0.115981,90866.17,4882,2649,794700,106.0,1
BAT-TEST-L-00027,Chevy Bolt EV,NCA,Ultra-Fast (HPC),Hot,Deep (0-100%),2239,111.3,732233.4,59.2,45.79,356.76,37.6,0.112487,99406.75,5487,3248,974400,129.9,1
BAT-TEST-L-00028,Tesla Model S,NCA,Fast (DC),Hot,Moderate (10-90%),1592,62.8,507503.9,72.46,57.99,339.22,18.9,0.083187,86516.79,5781,4189,1256700,167.6,1
BAT-TEST-L-00029,BYD Blade EV,NMC,Ultra-Fast (HPC),Temperate,Deep (0-100%),1994,112.9,664012.0,56.07,45.31,339.59,24.3,0.103797,83847.83,4539,2545,763500,101.8,1
BAT-TEST-L-00030,BYD Blade EV,LFP,Fast (DC),Cold,Moderate (10-90%),630,34.6,187580.9,87.62,70.18,350.38,39.8,0.064743,41399.53,5088,4458,1337400,178.3,0
BAT-TEST-L-00031,Model Y Performance,NMC,Slow (AC),Hot,Deep (0-100%),1166,49.8,307617.4,78.67,63.45,345.51,25.2,0.080494,68799.72,5467,4301,1290300,172.0,1
BAT-TEST-L-00032,Chevy Bolt EV,NMC,Slow (AC),Cold,Deep (0-100%),2955,101.6,880939.8,44.25,36.42,358.83,23.4,0.134906,98079.74,5301,2346,703800,93.8,1
BAT-TEST-L-00033,Model 3 Long Range,LFP,Slow (AC),Temperate,Deep (0-100%),3532,126.2,1066603.8,40.36,32.96,332.44,23.7,0.141546,106924.42,5923,2391,717300,95.6,1
BAT-TEST-L-00034,Model 3 Long Range,LFP,Fast (DC),Cold,Shallow (20-80%),522,25.1,205350.4,90.99,74.05,346.36,11.6,0.062199,35624.35,5796,5274,1582200,211.0,0
BAT-TEST-L-00035,Tesla Model S,NMC,Ultra-Fast (HPC),Hot,Deep (0-100%),2613,144.1,1023907.4,39.21,31.95,342.08,25.0,0.1468,76839.22,4298,1685,505500,67.4,1
BAT-TEST-L-00036,Chevy Bolt EV,LFP,Fast (DC),Cold,Deep (0-100%),734,38.9,263309.0,83.53,66.67,350.51,17.2,0.074922,45985.18,4458,3724,1117200,149.0,0
BAT-TEST-L-00037,BYD Blade EV,NCA,Ultra-Fast (HPC),Cold,Deep (0-100%),963,41.1,329279.0,80.57,65.21,357.86,14.5,0.076979,58194.29,4957,3994,1198200,159.8,0
BAT-TEST-L-00038,Model 3 Long Range,NMC,Fast (DC),Hot,Deep (0-100%),2511,94.5,661548.9,55.74,44.99,340.78,39.1,0.11625,104979.37,5674,3163,948900,126.5,1
BAT-TEST-L-00039,Model Y Performance,NMC,Ultra-Fast (HPC),Temperate,Deep (0-100%),577,19.1,169421.5,88.41,71.19,345.21,41.1,0.06726,38259.38,4978,4401,1320300,176.0,0
BAT-TEST-L-00040,Tesla Model S,NMC,Fast (DC),Hot,Moderate (10-90%),3847,121.7,1487181.9,18.26,14.47,332.88,44.6,0.169226,52677.31,4706,859,257700,34.4,1
BAT-TEST-L-00041,BYD Blade EV,NMC,Ultra-Fast (HPC),Cold,Shallow (20-80%),3307,117.1,1268502.8,18.74,16.93,357.48,46.6,0.174058,46484.94,4070,763,228900,30.5,1
BAT-TEST-L-00042,Chevy Bolt EV,NCA,Slow (AC),Hot,Deep (0-100%),1643,77.0,616192.4,69.63,55.9,346.13,42.3,0.099953,85799.25,5410,3767,1130100,150.7,1
BAT-TEST-L-00043,Model Y Performance,NCA,Slow (AC),Temperate,Moderate (10-90%),802,28.1,300053.9,85.69,68.4,348.05,17.9,0.073357,51543.01,5605,4803,1440900,192.1,0
BAT-TEST-L-00044,Chevy Bolt EV,LFP,Slow (AC),Hot,Moderate (10-90%),4580,195.4,1825219.0,23.56,19.68,357.65,44.0,0.16124,80937.62,5992,1412,423600,56.5,1
BAT-TEST-L-00045,BYD Blade EV,NCA,Fast (DC),Cold,Moderate (10-90%),2772,157.8,901023.4,33.42,27.37,331.34,19.1,0.145353,69487.8,4164,1392,417600,55.7,1
BAT-TEST-L-00046,Tesla Model S,LFP,Slow (AC),Cold,Moderate (10-90%),1559,51.8,502073.7,67.16,53.93,354.75,19.0,0.098489,78528.91,4748,3189,956700,127.6,1
BAT-TEST-L-00047,Model Y Performance,NMC,Ultra-Fast (HPC),Temperate,Moderate (10-90%),4055,183.6,1551131.0,23.97,18.52,349.03,42.9,0.167876,72885.88,5333,1278,383400,51.1,1
BAT-TEST-L-00048,Chevy Bolt EV,NMC,Fast (DC),Cold,Shallow (20-80%),1654,109.1,434648.2,69.62,56.28,342.55,42.3,0.093816,86359.33,5444,3790,1137000,151.6,1
BAT-TEST-L-00049,Tesla Model S,LFP,Ultra-Fast (HPC),Temperate,Shallow (20-80%),2127,96.4,725610.3,51.45,40.46,335.3,47.3,0.124952,82074.01,4381,2254,676200,90.2,1
BAT-TEST-L-00050,Chevy Bolt EV,NMC,Ultra-Fast (HPC),Hot,Deep (0-100%),1690,79.1,449119.0,67.86,54.6,351.06,15.4,0.097214,86009.52,5258,3568,1070400,142.7,1
BAT-TEST-L-00051,Model Y Performance,NMC,Fast (DC),Cold,Moderate (10-90%),1997,84.3,791184.6,54.33,44.01,337.58,42.8,0.121065,81375.15,4373,2376,712800,95.0,1
BAT-TEST-L-00052,BYD Blade EV,NCA,Slow (AC),Temperate,Moderate (10-90%),4905,179.7,1953260.7,13.69,10.79,350.21,48.9,0.17653,50357.38,5683,778,233400,31.1,1
BAT-TEST-L-00053,Model 3 Long Range,NCA,Fast (DC),Hot,Moderate (10-90%),3912,142.6,990056.8,29.03,22.65,344.45,28.9,0.159493,85187.55,5513,1601,480300,64.0,1
BAT-TEST-L-00054,Chevy Bolt EV,NMC,Ultra-Fast (HPC),Cold,Shallow (20-80%),1854,94.7,645893.1,58.89,47.56,355.87,20.8,0.106618,81889.93,4510,2656,796800,106.2,1
BAT-TEST-L-00055,Tesla Model S,LFP,Slow (AC),Hot,Shallow (20-80%),3836,165.8,1155557.4,20.24,18.93,335.46,25.0,0.167562,58221.45,4809,973,291900,38.9,1
BAT-TEST-L-00056,Chevy Bolt EV,NMC,Fast (DC),Hot,Deep (0-100%),2503,112.8,860348.9,52.51,41.43,348.68,44.9,0.12526,98574.25,5271,2768,830400,110.7,1
BAT-TEST-L-00057,Tesla Model S,LFP,Ultra-Fast (HPC),Cold,Deep (0-100%),3272,169.2,1234737.7,21.73,15.38,358.15,24.9,0.171683,53327.42,4180,908,272400,36.3,1
BAT-TEST-L-00058,BYD Blade EV,NCA,Ultra-Fast (HPC),Cold,Moderate (10-90%),3886,119.9,1040505.9,14.49,9.11,349.05,36.7,0.17854,42227.36,4544,658,197400,26.3,1
BAT-TEST-L-00059,Chevy Bolt EV,LFP,Ultra-Fast (HPC),Hot,Deep (0-100%),3539,134.4,1411306.4,25.15,19.17,331.04,17.5,0.163494,66763.78,4728,1189,356700,47.6,1
BAT-TEST-L-00060,BYD Blade EV,NCA,Ultra-Fast (HPC),Temperate,Moderate (10-90%),2586,87.6,840518.8,47.6,36.5,343.46,15.3,0.131753,92322.7,4935,2349,704700,94.0,1
BAT-TEST-L-00061,Tesla Model S,LFP,Fast (DC),Hot,Deep (0-100%),809,42.4,241069.2,84.59,66.91,351.51,14.0,0.074445,51327.97,5252,4443,1332900,177.7,0
BAT-TEST-L-00062,Chevy Bolt EV,NMC,Fast (DC),Hot,Shallow (20-80%),392,24.5,149636.9,90.69,72.51,351.29,21.7,0.069569,26662.11,4209,3817,1145100,152.7,0
BAT-TEST-L-00063,Tesla Model S,NMC,Fast (DC),Temperate,Shallow (20-80%),2827,113.5,960670.0,50.64,41.55,332.18,42.4,0.115112,107378.43,5728,2901,870300,116.0,1
BAT-TEST-L-00064,BYD Blade EV,LFP,Ultra-Fast (HPC),Temperate,Moderate (10-90%),2499,90.2,926750.7,49.2,40.65,344.02,46.4,0.128171,92204.0,4919,2420,726000,96.8,1
BAT-TEST-L-00065,Tesla Model S,NMC,Fast (DC),Hot,Moderate (10-90%),2048,76.0,635149.4,64.17,52.75,348.59,45.4,0.106921,98564.46,5716,3668,1100400,146.7,1
BAT-TEST-L-00066,Model 3 Long Range,LFP,Fast (DC),Temperate,Shallow (20-80%),3002,96.0,954100.8,37.59,30.91,340.56,16.4,0.14885,84637.67,4810,1808,542400,72.3,1
BAT-TEST-L-00067,Model 3 Long Range,NMC,Slow (AC),Hot,Moderate (10-90%),3223,127.7,1229691.8,19.99,12.35,330.3,20.2,0.169475,48330.83,4028,805,241500,32.2,1
BAT-TEST-L-00068,Chevy Bolt EV,NCA,Ultra-Fast (HPC),Temperate,Shallow (20-80%),3921,131.4,1109454.8,14.34,10.97,333.88,32.3,0.175661,42180.9,4578,657,197100,26.3,1
BAT-TEST-L-00069,Model 3 Long Range,LFP,Slow (AC),Hot,Moderate (10-90%),1931,119.5,750030.1,64.2,50.52,348.75,39.5,0.113166,92979.08,5394,3463,1038900,138.5,1
BAT-TEST-L-00070,Tesla Model S,NCA,Fast (DC),Hot,Deep (0-100%),885,28.6,313257.1,79.04,63.48,333.11,23.3,0.078649,52464.53,4223,3338,1001400,133.5,1
BAT-TEST-L-00071,Model Y Performance,NCA,Fast (DC),Hot,Moderate (10-90%),1383,51.0,548035.9,66.97,54.01,349.46,41.3,0.107301,69466.85,4187,2804,841200,112.2,1
BAT-TEST-L-00072,Tesla Model S,NCA,Ultra-Fast (HPC),Cold,Shallow (20-80%),1986,92.0,609497.5,65.4,52.45,351.94,47.4,0.098951,97413.68,5740,3754,1126200,150.2,1
BAT-TEST-L-00073,Model Y Performance,NMC,Ultra-Fast (HPC),Hot,Moderate (10-90%),2676,96.2,793741.1,46.09,36.79,346.39,30.3,0.127084,92499.34,4964,2288,686400,91.5,1
BAT-TEST-L-00074,BYD Blade EV,NMC,Fast (DC),Cold,Shallow (20-80%),1453,67.5,414278.9,65.81,52.29,353.48,42.7,0.096572,71717.11,4250,2797,839100,111.9,1
BAT-TEST-L-00075,Tesla Model S,NMC,Fast (DC),Cold,Shallow (20-80%),4006,170.4,1194830.6,27.78,21.55,346.6,32.2,0.159349,83461.19,5547,1541,462300,61.6,1
BAT-TEST-L-00076,Chevy Bolt EV,NCA,Fast (DC),Hot,Moderate (10-90%),1569,58.8,400288.5,66.09,53.46,340.71,34.5,0.10593,77775.63,4627,3058,917400,122.3,1
BAT-TEST-L-00077,BYD Blade EV,NMC,Fast (DC),Hot,Shallow (20-80%),2282,111.7,825603.5,55.02,45.66,331.38,38.9,0.11489,94163.29,5073,2791,837300,111.6,1
BAT-TEST-L-00078,Tesla Model S,LFP,Slow (AC),Cold,Moderate (10-90%),1336,52.9,408732.3,73.62,59.17,354.12,42.7,0.096089,73771.48,5065,3729,1118700,149.2,1
BAT-TEST-L-00079,Tesla Model S,LFP,Slow (AC),Temperate,Moderate (10-90%),4669,173.3,1342153.0,17.97,16.47,330.94,43.2,0.172076,62924.11,5692,1023,306900,40.9,1
BAT-TEST-L-00080,BYD Blade EV,LFP,Slow (AC),Temperate,Moderate (10-90%),1006,31.3,395507.1,76.68,61.33,358.69,30.6,0.081818,57858.35,4315,3309,992700,132.4,1
BAT-TEST-L-00081,Chevy Bolt EV,NMC,Ultra-Fast (HPC),Hot,Shallow (20-80%),1417,66.5,427606.9,68.42,53.91,340.78,35.9,0.099092,72708.65,4486,3069,920700,122.8,1
BAT-TEST-L-00082,Model Y Performance,LFP,Fast (DC),Cold,Moderate (10-90%),1618,84.2,468194.6,69.08,54.36,358.08,27.8,0.088488,83830.61,5233,3615,1084500,144.6,1
BAT-TEST-L-00083,Chevy Bolt EV,LFP,Ultra-Fast (HPC),Cold,Shallow (20-80%),2794,129.3,977938.7,52.23,41.81,343.56,49.0,0.127088,109455.62,5849,3055,916500,122.2,1
BAT-TEST-L-00084,Model 3 Long Range,LFP,Slow (AC),Hot,Deep (0-100%),340,20.6,98212.3,92.91,73.53,350.99,12.9,0.053932,23690.95,4793,4453,1335900,178.1,0
BAT-TEST-L-00085,Tesla Model S,LFP,Ultra-Fast (HPC),Temperate,Shallow (20-80%),3369,183.6,1154191.3,27.3,21.62,358.21,17.4,0.160091,68979.89,4634,1265,379500,50.6,1
BAT-TEST-L-00086,Chevy Bolt EV,LFP,Fast (DC),Cold,Moderate (10-90%),2635,136.7,664965.9,35.42,29.3,341.24,47.3,0.140493,69992.32,4080,1445,433500,57.8,1
BAT-TEST-L-00087,BYD Blade EV,NMC,Slow (AC),Cold,Deep (0-100%),4077,183.8,1148526.2,29.35,24.15,359.95,32.9,0.165056,89747.26,5771,1694,508200,67.8,1
BAT-TEST-L-00088,Model 3 Long Range,LFP,Slow (AC),Hot,Shallow (20-80%),4740,182.4,1879118.4,14.09,12.34,344.7,37.2,0.178625,50105.43,5518,778,233400,31.1,1
BAT-TEST-L-00089,Tesla Model S,NMC,Ultra-Fast (HPC),Temperate,Deep (0-100%),648,32.8,186143.6,86.84,70.55,331.66,12.5,0.068671,42203.06,4923,4275,1282500,171.0,0
BAT-TEST-L-00090,Chevy Bolt EV,LFP,Slow (AC),Cold,Shallow (20-80%),4412,141.1,1593396.2,16.81,12.98,350.06,28.5,0.178947,55620.32,5303,891,267300,35.6,1
BAT-TEST-L-00091,BYD Blade EV,NCA,Ultra-Fast (HPC),Cold,Moderate (10-90%),2299,117.6,708856.8,61.61,49.91,356.69,31.5,0.111792,106236.88,5989,3690,1107000,147.6,1
BAT-TEST-L-00092,Chevy Bolt EV,NMC,Slow (AC),Temperate,Moderate (10-90%),2116,83.2,569990.5,63.62,48.99,359.75,47.1,0.099263,100968.07,5817,3701,1110300,148.0,1
BAT-TEST-L-00093,Model Y Performance,NMC,Ultra-Fast (HPC),Cold,Shallow (20-80%),3277,110.3,1279555.9,42.13,33.2,357.93,42.6,0.139659,103532.88,5662,2385,715500,95.4,1
BAT-TEST-L-00094,Model 3 Long Range,NCA,Ultra-Fast (HPC),Cold,Deep (0-100%),4828,277.2,1408482.1,11.13,8.36,355.59,22.4,0.183069,40285.38,5432,604,181200,24.2,1
BAT-TEST-L-00095,Model 3 Long Range,NMC,Ultra-Fast (HPC),Temperate,Deep (0-100%),819,44.7,304161.8,81.59,66.03,337.15,23.8,0.081405,50115.83,4448,3629,1088700,145.2,0
BAT-TEST-L-00096,BYD Blade EV,NCA,Slow (AC),Temperate,Deep (0-100%),3142,106.3,1050097.9,42.72,35.03,341.34,49.9,0.130076,100668.99,5485,2343,702900,93.7,1
BAT-TEST-L-00097,BYD Blade EV,NCA,Fast (DC),Temperate,Deep (0-100%),2137,112.7,580061.3,56.89,45.46,334.13,44.9,0.11618,91183.01,4957,2820,846000,112.8,1
BAT-TEST-L-00098,BYD Blade EV,NMC,Fast (DC),Cold,Shallow (20-80%),1399,40.5,476675.7,70.4,56.47,348.09,38.9,0.09363,73862.73,4726,3327,998100,133.1,1
BAT-TEST-L-00099,Model 3 Long Range,NMC,Slow (AC),Temperate,Deep (0-100%),1502,57.2,542765.0,67.4,53.24,358.5,23.0,0.090259,75924.64,4607,3105,931500,124.2,1
BAT-TEST-L-00100,Model 3 Long Range,NMC,Ultra-Fast (HPC),Hot,Shallow (20-80%),1502,54.3,531760.4,69.04,54.36,350.38,22.9,0.105872,77771.3,4851,3349,1004700,134.0,1
BAT-TEST-L-00101,Model 3 Long Range,NMC,Ultra-Fast (HPC),Hot,Deep (0-100%),2494,110.8,692402.4,39.11,30.1,333.48,24.5,0.138883,73153.06,4096,1602,480600,64.1,1
BAT-TEST-L-00102,Model 3 Long Range,LFP,Slow (AC),Temperate,Moderate (10-90%),2628,115.0,750952.5,45.05,38.24,332.9,40.9,0.126043,88799.85,4783,2155,646500,86.2,1
BAT-TEST-L-00103,Chevy Bolt EV,NMC,Slow (AC),Temperate,Deep (0-100%),3090,180.5,877599.9,30.38,23.58,349.66,44.2,0.155463,70410.82,4439,1349,404700,54.0,1
BAT-TEST-L-00104,Tesla Model S,NMC,Fast (DC),Cold,Deep (0-100%),385,24.7,126183.7,92.35,74.22,350.0,25.6,0.062995,26666.37,5033,4648,1394400,185.9,0
BAT-TEST-L-00105,Tesla Model S,NMC,Ultra-Fast (HPC),Hot,Shallow (20-80%),3366,185.2,1182218.1,34.53,29.05,359.18,37.7,0.14839,87164.28,5141,1775,532500,71.0,1
BAT-TEST-L-00106,Model Y Performance,NMC,Ultra-Fast (HPC),Hot,Moderate (10-90%),4593,171.2,1508191.2,22.52,18.11,330.34,44.6,0.168693,77580.89,5928,1335,400500,53.4,1
BAT-TEST-L-00107,Tesla Model S,LFP,Slow (AC),Hot,Deep (0-100%),3219,207.4,881163.3,20.99,14.98,348.55,42.3,0.16753,50684.61,4074,855,256500,34.2,1
BAT-TEST-L-00108,Chevy Bolt EV,NCA,Fast (DC),Hot,Deep (0-100%),578,19.4,185688.5,90.24,71.88,355.11,12.8,0.06838,39121.11,5925,5347,1604100,213.9,0
BAT-TEST-L-00109,BYD Blade EV,LFP,Fast (DC),Temperate,Deep (0-100%),2569,137.4,677642.7,39.87,29.88,344.34,44.7,0.142465,76823.21,4273,1704,511200,68.2,1
BAT-TEST-L-00110,BYD Blade EV,NCA,Slow (AC),Hot,Shallow (20-80%),1342,42.4,400306.0,72.35,57.16,345.62,32.1,0.092058,72823.54,4854,3512,1053600,140.5,1
BAT-TEST-L-00111,Chevy Bolt EV,LFP,Ultra-Fast (HPC),Cold,Shallow (20-80%),592,28.5,175425.4,87.68,69.97,345.12,33.9,0.065732,38930.19,4805,4213,1263900,168.5,0
BAT-TEST-L-00112,Tesla Model S,LFP,Ultra-Fast (HPC),Hot,Deep (0-100%),1816,115.5,494397.5,69.58,53.83,357.33,30.4,0.096027,94773.32,5971,4155,1246500,166.2,1
BAT-TEST-L-00113,Model 3 Long Range,NMC,Ultra-Fast (HPC),Hot,Shallow (20-80%),3151,208.2,1109204.4,43.03,34.74,337.8,27.9,0.136709,101679.2,5531,2380,714000,95.2,1
BAT-TEST-L-00114,Tesla Model S,NMC,Slow (AC),Temperate,Deep (0-100%),444,22.9,164511.5,90.09,71.79,336.0,27.8,0.059753,30000.65,4481,4037,1211100,161.5,0
BAT-TEST-L-00115,Model 3 Long Range,NCA,Fast (DC),Temperate,Moderate (10-90%),1525,72.8,504551.5,72.6,59.46,339.71,21.6,0.081712,83038.27,5566,4041,1212300,161.6,1
BAT-TEST-L-00116,Chevy Bolt EV,NCA,Fast (DC),Hot,Deep (0-100%),2791,97.6,990816.7,30.27,26.15,349.43,43.4,0.156947,63361.57,4003,1212,363600,48.5,1
BAT-TEST-L-00117,Model 3 Long Range,NCA,Slow (AC),Hot,Moderate (10-90%),1026,60.6,368188.9,80.02,66.45,341.58,24.6,0.077503,61575.98,5135,4109,1232700,164.4,0
BAT-TEST-L-00118,Model Y Performance,NMC,Slow (AC),Temperate,Moderate (10-90%),1226,56.5,322384.7,74.65,57.31,357.17,42.5,0.084163,68642.65,4837,3611,1083300,144.4,1
BAT-TEST-L-00119,Chevy Bolt EV,NCA,Slow (AC),Hot,Moderate (10-90%),3044,146.9,1147485.5,43.55,33.76,340.82,43.6,0.134011,99425.27,5392,2348,704400,93.9,1
BAT-TEST-L-00120,Model Y Performance,LFP,Slow (AC),Hot,Deep (0-100%),3706,196.4,1284034.2,27.02,20.67,342.06,24.4,0.160013,75090.9,5078,1372,411600,54.9,1
BAT-TEST-L-00121,Model 3 Long Range,NMC,Ultra-Fast (HPC),Temperate,Shallow (20-80%),1699,101.9,543507.3,70.57,56.53,337.9,47.0,0.096443,89924.71,5773,4074,1222200,163.0,1
BAT-TEST-L-00122,Chevy Bolt EV,NCA,Ultra-Fast (HPC),Hot,Moderate (10-90%),985,49.4,267708.2,81.85,65.66,332.85,34.1,0.08226,60467.62,5427,4442,1332600,177.7,0
BAT-TEST-L-00123,Model 3 Long Range,LFP,Fast (DC),Temperate,Deep (0-100%),2732,125.0,751841.4,41.33,32.18,354.28,20.0,0.135159,84695.32,4657,1925,577500,77.0,1
BAT-TEST-L-00124,Tesla Model S,NMC,Fast (DC),Hot,Moderate (10-90%),2940,128.9,852215.1,47.14,37.9,353.9,31.3,0.125265,103951.0,5562,2622,786600,104.9,1
BAT-TEST-L-00125,Chevy Bolt EV,NCA,Fast (DC),Temperate,Shallow (20-80%),3433,119.6,1113607.4,40.31,32.48,348.93,33.9,0.140331,103790.24,5751,2318,695400,92.7,1
BAT-TEST-L-00126,Chevy Bolt EV,LFP,Ultra-Fast (HPC),Cold,Deep (0-100%),3399,130.1,854585.5,30.38,26.4,334.6,41.8,0.154901,77440.3,4882,1483,444900,59.3,1
BAT-TEST-L-00127,Model 3 Long Range,LFP,Ultra-Fast (HPC),Cold,Shallow (20-80%),1529,64.9,588571.4,65.54,52.38,338.51,21.7,0.100611,75154.72,4437,2908,872400,116.3,1
BAT-TEST-L-00128,Model Y Performance,NCA,Fast (DC),Temperate,Shallow (20-80%),2496,115.5,833387.9,43.19,32.51,339.38,35.1,0.132841,80846.69,4393,1897,569100,75.9,1
BAT-TEST-L-00129,BYD Blade EV,LFP,Slow (AC),Cold,Shallow (20-80%),1550,51.8,563850.3,65.91,52.2,346.07,30.6,0.100257,76622.18,4547,2997,899100,119.9,1
BAT-TEST-L-00130,Tesla Model S,LFP,Fast (DC),Hot,Shallow (20-80%),3402,166.9,1121163.4,40.79,31.96,342.79,20.5,0.142602,104083.94,5746,2344,703200,93.8,1
BAT-TEST-L-00131,Tesla Model S,NCA,Slow (AC),Temperate,Deep (0-100%),2461,88.6,945925.1,40.3,32.91,337.17,30.6,0.134601,74388.66,4122,1661,498300,66.4,1
BAT-TEST-L-00132,Model Y Performance,NMC,Ultra-Fast (HPC),Hot,Moderate (10-90%),3419,102.7,930225.6,26.6,19.97,352.27,38.6,0.162521,68199.78,4658,1239,371700,49.6,1
